post_id,annotators,rationales,post_tokens,annotator_labels,text,label_counts,n_annotators,shannon_entropy,stability_bins
1118252411414564864_twitter,"[{'label': 'normal', 'annotator_id': 115, 'target': ['None']}, {'label': 'normal', 'annotator_id': 6, 'target': ['None']}, {'label': 'normal', 'annotator_id': 4, 'target': ['None']}]",[],"['mice', 'are', 'sexily', 'jewish', 'and', 'i', 'grow', 'increasingly', 'aroused', 'thinking', 'about', 'rikki', 'tikki', 'tavi', 'bitch']","['normal', 'normal', 'normal']",mice are sexily jewish and i grow increasingly aroused thinking about rikki tikki tavi bitch,{'normal': 3},3,0.0,high_agreement
13567007_gab,"[{'label': 'hatespeech', 'annotator_id': 4, 'target': ['Jewish']}, {'label': 'hatespeech', 'annotator_id': 46, 'target': ['Jewish']}, {'label': 'hatespeech', 'annotator_id': 9, 'target': ['Jewish']}]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","['i', 'have', 'offered', 'quite', 'a', 'few', 'constructive', 'and', 'gentle', 'criticisms', 'of', 'her', 'kike', 'face', 'and', 'it', 'modern', 'art', 'paint', 'shellacking', '😬', 'buffalo', 'bill', 'was', 'not', 'very', 'appreciative']","['hatespeech', 'hatespeech', 'hatespeech']",i have offered quite a few constructive and gentle criticisms of her kike face and it modern art paint shellacking 😬 buffalo bill was not very appreciative,{'hatespeech': 3},3,0.0,high_agreement
1087858194519601152_twitter,"[{'label': 'normal', 'annotator_id': 6, 'target': ['None']}, {'label': 'normal', 'annotator_id': 8, 'target': ['None']}, {'label': 'normal', 'annotator_id': 20, 'target': ['None']}]",[],"['now', 'stephanie', 'liking', 'this', 'nigga', 'shit', '😔', 'he', 'getting', 'mad', 'bitches', 'tonight']","['normal', 'normal', 'normal']",now stephanie liking this nigga shit 😔 he getting mad bitches tonight,{'normal': 3},3,0.0,high_agreement
1179059616677814273_twitter,"[{'label': 'hatespeech', 'annotator_id': 4, 'target': ['Homosexual']}, {'label': 'hatespeech', 'annotator_id': 89, 'target': ['Homosexual']}, {'label': 'hatespeech', 'annotator_id': 6, 'target': ['Homosexual']}]","[[1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","['these', 'fucking', 'faggots', 'be', 'outta', 'line', 'son', '-.-', 'every', 'year', 'these', 'mf', 'get', 'more', 'comfortable', 'and', 'comfortable', 'in', 'disrespecting', 'straight', 'man', 'like', 'i', 'will', 'not', 'slap', 'the', 'shit', 'out', 'of', 'mf', 'disrespecting', 'me', '😑', 'and', 'best', 'believe', 'im', 'out', 'too', 'dumb', 'ass', 'mf']","['hatespeech', 'hatespeech', 'hatespeech']",these fucking faggots be outta line son -.- every year these mf get more comfortable and comfortable in disrespecting straight man like i will not slap the shit out of mf disrespecting me 😑 and best believe im out too dumb ass mf,{'hatespeech': 3},3,0.0,high_agreement
9045150_gab,"[{'label': 'hatespeech', 'annotator_id': 46, 'target': ['Arab', 'Islam']}, {'label': 'hatespeech', 'annotator_id': 124, 'target': ['Arab']}, {'label': 'hatespeech', 'annotator_id': 18, 'target': ['Islam']}]","[[0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 1]]","['why', 'the', 'surprise', 'he', 'is', 'protecting', 'is', 'fellow', 'mudslimes']","['hatespeech', 'hatespeech', 'hatespeech']",why the surprise he is protecting is fellow mudslimes,{'hatespeech': 3},3,0.0,high_agreement
5241413_gab,"[{'label': 'hatespeech', 'annotator_id': 4, 'target': ['Other', 'Caucasian', 'Homosexual', 'Women', 'African']}, {'label': 'hatespeech', 'annotator_id': 9, 'target': ['Women', 'African']}, {'label': 'hatespeech', 'annotator_id': 46, 'target': ['Women', 'Disability', 'Caucasian']}]","[[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","['retarded', 'honky', 'nigger', 'faggot', 'cunt', 'bitch', 'am', 'i', 'going', 'to', 'be', 'banned', 'for', '<number>', 'hours', 'oh', 'this', 'is', 'not', 'twitter']","['hatespeech', 'hatespeech', 'hatespeech']",retarded honky nigger faggot cunt bitch am i going to be banned for <number> hours oh this is not twitter,{'hatespeech': 3},3,0.0,high_agreement
22877517_gab,"[{'label': 'offensive', 'annotator_id': 202, 'target': ['Islam']}, {'label': 'offensive', 'annotator_id': 223, 'target': ['Islam']}, {'label': 'offensive', 'annotator_id': 228, 'target': ['Islam']}]","[[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]]","['islam', 'see', 'to', 'be', 'only', 'doing', 'aweful', 'things', 'no', 'wonder', 'we', 'do', 'not', 'want', 'to', 'do', 'with', 'that', 'even', 'a', 'few', 'good', 'peeps', 'are', 'among', 'them', 'i', 'doubt', 'the', 'ideoligy', 'of', 'the', 'islam', 'is', 'good', 'for', 'peeps', 'more', 'bad', 'for', 'humans']","['offensive', 'offensive', 'offensive']",islam see to be only doing aweful things no wonder we do not want to do with that even a few good peeps are among them i doubt the ideoligy of the islam is good for peeps more bad for humans,{'offensive': 3},3,0.0,high_agreement
1178641566602158080_twitter,"[{'label': 'normal', 'annotator_id': 1, 'target': ['None']}, {'label': 'normal', 'annotator_id': 9, 'target': ['None']}, {'label': 'normal', 'annotator_id': 17, 'target': ['None']}]",[],"['<user>', 'it', 'is', 'very', 'fair', 'established', 'accustaion', 'kashmiri', 'muslims', 'has', 'forced', 'to', 'vacate', 'pandits', 'masaacred', 'pandits', 'raped', 'their', 'girls', 'nd', 'women', 'kashmiri', 'muslims', 'r', 'sole', 'culprit', 'of', 'this']","['normal', 'normal', 'normal']",<user> it is very fair established accustaion kashmiri muslims has forced to vacate pandits masaacred pandits raped their girls nd women kashmiri muslims r sole culprit of this,{'normal': 3},3,0.0,high_agreement
21627337_gab,"[{'label': 'hatespeech', 'annotator_id': 4, 'target': ['African']}, {'label': 'hatespeech', 'annotator_id': 82, 'target': ['African']}, {'label': 'hatespeech', 'annotator_id': 35, 'target': ['African']}]","[[0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","['no', 'bro', 'this', 'is', 'ooga', 'booga', 'yikes', 'this', 'mongrel', 'looks', 'like', 'a', 'predator', 'alien', 'fucked', 'a', 'nigger', 'that', 'fucked', 'whoopi', 'goldberg', 'that', 'fucked', 'one', 'of', 'those', 'little', 'monkey', 'critters', 'on', 'star', 'wars']","['hatespeech', 'hatespeech', 'hatespeech']",no bro this is ooga booga yikes this mongrel looks like a predator alien fucked a nigger that fucked whoopi goldberg that fucked one of those little monkey critters on star wars,{'hatespeech': 3},3,0.0,high_agreement
1179030824668352512_twitter,"[{'label': 'normal', 'annotator_id': 4, 'target': ['None']}, {'label': 'normal', 'annotator_id': 17, 'target': ['None']}, {'label': 'normal', 'annotator_id': 25, 'target': ['None']}]",[],"['<user>', 'announced', 'clerks', '<number>', 'i', 'am', 'excited', 'you', 'need', 'an', 'extra', 'on', 'set', 'someone', 'to', 'make', 'sure', 'porch', 'monkey', 'was', 'taken', 'back', 'i', 'am', 'willing', 'to', 'come', 'work']","['normal', 'normal', 'normal']",<user> announced clerks <number> i am excited you need an extra on set someone to make sure porch monkey was taken back i am willing to come work,{'normal': 3},3,0.0,high_agreement
1179104610461585415_twitter,"[{'label': 'normal', 'annotator_id': 143, 'target': ['None']}, {'label': 'normal', 'annotator_id': 18, 'target': ['None']}, {'label': 'normal', 'annotator_id': 38, 'target': ['None']}]",[],"['the', 'media', 'frenzy', 'regarding', 'boris', 'allegedly', 'touching', 'a', 'woman', 'thigh', '<number>', 'years', 'ago', 'yet', 'children', 'are', 'groomed', 'and', 'raped', 'for', 'years', 'without', 'the', 'genuine', 'scunity', 'it', 'deserved', 'the', 'pungent', 'stench', 'of', 'hypocrisy', 'by', 'mps', 'and', 'the', 'media', 'makes', 'you', 'wanna', 'throw', 'up']","['normal', 'normal', 'normal']",the media frenzy regarding boris allegedly touching a woman thigh <number> years ago yet children are groomed and raped for years without the genuine scunity it deserved the pungent stench of hypocrisy by mps and the media makes you wanna throw up,{'normal': 3},3,0.0,high_agreement
19930942_gab,"[{'label': 'hatespeech', 'annotator_id': 4, 'target': ['African', 'Islam', 'Jewish']}, {'label': 'hatespeech', 'annotator_id': 96, 'target': ['African', 'Other']}, {'label': 'hatespeech', 'annotator_id': 25, 'target': ['African', 'Jewish']}]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]]","['priceless', 'intro', 'to', 'gab', 'i', 'will', 'follow', 'just', 'because', 'you', 'said', 'shithole', 'country', 'lmfao', 'welcome', 'to', 'gab', 'home', 'of', 'the', 'anti', 'semites', 'also', 'home', 'of', 'the', 'muslime', 'and', 'nigger', 'haters', '<happy>']","['hatespeech', 'hatespeech', 'hatespeech']",priceless intro to gab i will follow just because you said shithole country lmfao welcome to gab home of the anti semites also home of the muslime and nigger haters <happy>,{'hatespeech': 3},3,0.0,high_agreement
1178741653026291713_twitter,"[{'label': 'normal', 'annotator_id': 52, 'target': ['None']}, {'label': 'normal', 'annotator_id': 1, 'target': ['None']}, {'label': 'normal', 'annotator_id': 2, 'target': ['None']}]",[],"['need', 'them', 'white', 'malteser', 'truffles', 'in', 'my', 'life']","['normal', 'normal', 'normal']",need them white malteser truffles in my life,{'normal': 3},3,0.0,high_agreement
18481914_gab,"[{'label': 'hatespeech', 'annotator_id': 11, 'target': ['Homosexual']}, {'label': 'hatespeech', 'annotator_id': 44, 'target': ['Jewish', 'Homosexual']}, {'label': 'hatespeech', 'annotator_id': 46, 'target': ['Homosexual']}]","[[0, 0, 0, 0, 0, 0, 1, 1, 0, 0], [0, 0, 0, 0, 0, 1, 1, 1, 0, 0], [0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]","['and', 'the', 'author', 'is', 'a', 'ratfaced', 'kike', 'faggot', 'absolutely', 'shocking']","['hatespeech', 'hatespeech', 'hatespeech']",and the author is a ratfaced kike faggot absolutely shocking,{'hatespeech': 3},3,0.0,high_agreement
1105741490423242752_twitter,"[{'label': 'normal', 'annotator_id': 7, 'target': ['None']}, {'label': 'normal', 'annotator_id': 6, 'target': ['None']}, {'label': 'normal', 'annotator_id': 4, 'target': ['None']}]",[],"['son', 'of', 'a', 'bitch', 'the', 'keyboard', 'and', 'purifier', 'i', 'bought', 'sunday', 'night', 'got', 'delivered', 'yesterday', 'to', 'my', 'parents', 'house', 'fuckers']","['normal', 'normal', 'normal']",son of a bitch the keyboard and purifier i bought sunday night got delivered yesterday to my parents house fuckers,{'normal': 3},3,0.0,high_agreement
1187406485128695809_twitter,"[{'label': 'normal', 'annotator_id': 20, 'target': ['None']}, {'label': 'normal', 'annotator_id': 6, 'target': ['None']}, {'label': 'normal', 'annotator_id': 4, 'target': ['Women']}]",[],"['thought', 'she', 'was', 'a', 'pretty', 'rickey', 'bitch', 'but', 'she', 'like', 'yo', 'gotti']","['normal', 'normal', 'normal']",thought she was a pretty rickey bitch but she like yo gotti,{'normal': 3},3,0.0,high_agreement
24758229_gab,"[{'label': 'offensive', 'annotator_id': 231, 'target': ['Jewish']}, {'label': 'offensive', 'annotator_id': 200, 'target': ['Jewish']}, {'label': 'offensive', 'annotator_id': 205, 'target': ['Jewish']}]","[[0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","['does', 'it', 'refer', 'to', 'the', 'real', 'jews', 'comparing', 'them', 'to', 'those', 'who', 'call', 'themselves', 'jews', 'today', 'is', 'comparing', 'apples', 'to', 'oranges']","['offensive', 'offensive', 'offensive']",does it refer to the real jews comparing them to those who call themselves jews today is comparing apples to oranges,{'offensive': 3},3,0.0,high_agreement
1179037519167422466_twitter,"[{'label': 'normal', 'annotator_id': 1, 'target': ['None']}, {'label': 'normal', 'annotator_id': 4, 'target': ['Hindu']}, {'label': 'normal', 'annotator_id': 114, 'target': ['None']}]",[],"['<user>', '<user>', 'but', 'ethnic', 'cleansing', 'of', 'hindus', 'has', 'actually', 'happened', 'in', 'pakistan', 'hindus', 'who', 'wr', '<percent>', 'in', 'west', 'pak', 'in', '<number>', 'hv', 'been', 'reduced', 'to', '<percent>', 'thru', 'killings', 'n', 'conversions', 'hypocrite', 'werleman', 'never', 'cared', 'to', 'question', 'terroristan', 'coz', 'he', 'thinks', 'like', 'a', 'jihadi']","['normal', 'normal', 'normal']",<user> <user> but ethnic cleansing of hindus has actually happened in pakistan hindus who wr <percent> in west pak in <number> hv been reduced to <percent> thru killings n conversions hypocrite werleman never cared to question terroristan coz he thinks like a jihadi,{'normal': 3},3,0.0,high_agreement
1178287461560127489_twitter,"[{'label': 'hatespeech', 'annotator_id': 59, 'target': ['African']}, {'label': 'hatespeech', 'annotator_id': 21, 'target': ['African']}, {'label': 'hatespeech', 'annotator_id': 4, 'target': ['African']}]","[[0, 1, 0, 1, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0], [0, 1, 0, 1, 0, 0, 0, 0]]","['u', 'niggers', 'r', 'coonin', 'for', 'that', 'kanye', 'shit']","['hatespeech', 'hatespeech', 'hatespeech']",u niggers r coonin for that kanye shit,{'hatespeech': 3},3,0.0,high_agreement
1145140813707583489_twitter,"[{'label': 'offensive', 'annotator_id': 235, 'target': ['None']}, {'label': 'offensive', 'annotator_id': 209, 'target': ['Refugee']}, {'label': 'offensive', 'annotator_id': 203, 'target': ['Refugee']}]","[[0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0], [0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]","['only', 'in', 'america', 'are', 'legal', 'citizens', 'labeled', 'racists', 'and', 'nazi', 'but', 'illegal', 'aliens', 'are', 'called', 'dreamers']","['offensive', 'offensive', 'offensive']",only in america are legal citizens labeled racists and nazi but illegal aliens are called dreamers,{'offensive': 3},3,0.0,high_agreement
13927228_gab,"[{'label': 'hatespeech', 'annotator_id': 208, 'target': ['Jewish']}, {'label': 'hatespeech', 'annotator_id': 210, 'target': ['Jewish']}, {'label': 'hatespeech', 'annotator_id': 230, 'target': ['Jewish']}]","[[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]]","['no', 'kike', 'should', 'ever', 'feel', 'at', 'home', 'or', 'welcome', 'on', 'this', 'site']","['hatespeech', 'hatespeech', 'hatespeech']",no kike should ever feel at home or welcome on this site,{'hatespeech': 3},3,0.0,high_agreement
1178822496205889538_twitter,"[{'label': 'offensive', 'annotator_id': 49, 'target': ['Women']}, {'label': 'offensive', 'annotator_id': 4, 'target': ['Women']}, {'label': 'offensive', 'annotator_id': 71, 'target': ['Women', 'Heterosexual']}]","[[0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1], [0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0]]","['u', 'can', 'rent', 'a', 'hoe', 'but', 'u', 'can', 'not', 'buy', 'a', 'bitch']","['offensive', 'offensive', 'offensive']",u can rent a hoe but u can not buy a bitch,{'offensive': 3},3,0.0,high_agreement
20337799_gab,"[{'label': 'offensive', 'annotator_id': 6, 'target': ['Homosexual']}, {'label': 'offensive', 'annotator_id': 4, 'target': ['Homosexual']}, {'label': 'offensive', 'annotator_id': 193, 'target': ['Men', 'Homosexual']}]","[[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]]","['shaved', 'headed', 'bitch', 'creep', 'the', 'left', 'could', 'not', 'have', 'found', 'someone', 'cute', 'they', 'had', 'to', 'go', 'with', 'a', 'dyke']","['offensive', 'offensive', 'offensive']",shaved headed bitch creep the left could not have found someone cute they had to go with a dyke,{'offensive': 3},3,0.0,high_agreement
